                          District 26032101  Recovered  Quarantine  Critical  Total Deaths
                   Zollernalbkreis      256          0           0        19             4
                 Aichach-Friedberg       79          5         325         0             0
                         Altötting       81          0           0         0             1
                            Amberg        7          0           0         0             0
                   Amberg-Sulzbach       44          0          60         0             2
                           Ansbach       10        120           0         0             0
                           Ansbach      110        120           0         0             0
                     Aschaffenburg       32          0           0         0             0
                     Aschaffenburg       77          0           0         0             1
                          Augsburg      108          0           0         0             2
                          Augsburg      143          0           0         0             0
                     Bad Kissingen       37          1         251         0             0
           Bad Tölz-Wolfratshausen      120          3          54         4             0
                           Bamberg       55          0           0         0             0
                           Bamberg      138          1           0         0             1
                          Bayreuth       53          0           0         0             0
                          Bayreuth       85          0           0         0             2
              Berchtesgadener Land       60          4         287         5             0
                              Cham      103          0           0         1             0
                            Coburg       15          0          10         0             0
                            Coburg       36          0          27         0             0
                            Dachau      220         14           0         0             0
                        Deggendorf       90          0           0         2             0
              Dillingen a.d. Donau       26          0          36         0             1
                 Dingolfing-Landau       61          2           0         2             0
                        Donau-Ries       58          0           0         0             0
                         Ebersberg      117         20         356        11             0
                         Eichstätt       47          0         230         0             0
                            Erding      210          0           0        22             0
                          Erlangen       52          0           0         0             0
                Erlangen-Höchstadt       52          0           0         0             0
                         Forchheim       59          0           0         0             0
                          Freising      326         64           0         0             7
                  Freyung-Grafenau       37          0         400         7             1
                  Fürstenfeldbruck      250          0           0         0             2
                             Fürth       37          0           0         0             0
                             Fürth       47          0           0         0             0
            Garmisch-Partenkirchen       79          0           0         0             0
                          Günzburg       54          0         270         0             0
                          Haßberge       34          0           0         0             0
                               Hof       19          1           0         0             0
                               Hof       75          3           0         0             0
                        Ingolstadt       29          3           0         0             0
                        Kaufbeuren       15          0           0         0             0
                           Kelheim       76          0         248         0             2
                  Kempten (Allgäu)       30          0           0         0             0
                         Kitzingen       18          0           0         0             0
                           Kronach       34          0         165         0             0
                          Kulmbach       52          0           0         9             0
                 Landsberg am Lech       98          0           0         0             0
                          Landshut       45          0           0         0             0
                          Landshut      214          0           0         0             1
                       Lichtenfels       46          0           0         0             0
                 Lindau (Bodensee)       80          0           0         0             0
                     Main-Spessart       38          0         291         0             1
                         Memmingen       23          0           0         0             0
                          Miesbach      217         27           0         5             0
                        Miltenberg       60          2           0         1             0
                   Mühldorf a. Inn       77          1           0        18             0
                           München     1687          4           0         0             3
                           München      429          0           0         0             0
                           Neu-Ulm       94          0           0         7             0
            Neuburg-Schrobenhausen       56          0           0         0             0
                Neumarkt i.d. OPf.       43          0           0         0             0
 Neustadt a.d. Aisch-Bad Windsheim       40          0           0         0             0
            Neustadt a.d. Waldnaab       96          0           0         0             2
                          Nürnberg      202         17        1000         4             1
                   Nürnberger Land      138          0           0        12             2
                        Oberallgäu       70          0           0         0             2
                         Ostallgäu       94          0           0         0             1
                            Passau       24          0           0         8             0
                            Passau       73          0           0         0             0
             Pfaffenhofen a.d. Ilm       54          6         204         0             0
                             Regen       39          0           0         0             0
                        Regensburg      124          0           0         0             0
                        Regensburg      107          0           0         0             0
                     Rhön-Grabfeld       29          2          21         1             0
                         Rosenheim       88        588           0         0             0
                         Rosenheim      500        588           0        45             2
                              Roth       47          0           0         0             0
                        Rottal-Inn      160          6         400         9             0
                         Schwabach       16          0           0         0             0
                        Schwandorf       74          0         280        20             0
                       Schweinfurt       13          0         162         4             0
                       Schweinfurt       61          0         250         6             0
                         Starnberg      223          0           0        29             1
                         Straubing       58          0           0         0             0
                   Straubing-Bogen       58          0           0         0             0
                     Tirschenreuth      259          0           0         0             4
                        Traunstein      145         10           0        25             2
                       Unterallgäu       87          0           0         4             2
                  Weiden i.d. OPf.       45          0           0         0             0
                 Weilheim-Schongau      136          0          70         4             1
           Weißenburg-Gunzenhausen       51          0           0         0             0
       Wunsiedel i. Fichtelgebirge      115          0           0         0             2
                          Würzburg      128        297         851         0             6
                          Würzburg      175        297         436         0             4
                     Merzig-Wadern       37          0           0         0             0
                       Neunkirchen       64          0           0         0             0
       Regionalverband Saarbrücken      190          0           0         0             2
                         Saarlouis       78          0           0         0             0
                   Saarpfalz-Kreis      102          0           0         0             0
                        St. Wendel       69          0           0         0             0
                            Berlin     1937        384           0       281             8
                            Barnim       56          0         224         3             0
          Brandenburg an der Havel       13          0           0         1             0
                           Cottbus       28          0         275         2             0
                   Dahme-Spreewald       41          0         119         3             0
                       Elbe-Elster       17          0           0         1             0
                  Frankfurt (Oder)        6          0          59         0             0
                         Havelland       29          0           0         2             0
                 Märkisch-Oderland       69          0         593        12             0
                         Oberhavel       65          3          56         4             1
             Oberspreewald-Lausitz       13          0         200         0             0
                        Oder-Spree       60          2          46         3             0
                Ostprignitz-Ruppin        9          0           0         0             0
                           Potsdam       79          0         500        23             0
                Potsdam-Mittelmark       65          0         126         1             0
                          Prignitz        6          0           0         0             0
                       Spree-Neiße       35          5         117         1             0
                    Teltow-Fläming       38          4          55         2             0
                         Uckermark        5          0           0         2             0
               Ludwigslust-Parchim       28          0           0         0             0
       Mecklenburgische Seenplatte       41          0           0         0             0
               Nordwestmecklenburg       24          0           0         0             0
                           Rostock       38          1           0         0             0
                           Rostock       24          3           0         0             0
                          Schwerin       53          2          87         0             0
             Vorpommern-Greifswald       37          0           0         0             0
                  Vorpommern-Rügen       23          1           0         0             0
                           Bautzen      114          7         702         2             1
                          Chemnitz       71          0           0         0             0
                           Dresden      239          0           0         0             0
                   Erzgebirgskreis       65          0           0         0             0
                           Görlitz       35          6         148         3             0
                           Leipzig      218          0        1207        18             0
                           Leipzig       68          0         402         3             0
                            Meißen       42          0         349         6             1
                     Mittelsachsen       61          0         141         0             0
                       Nordsachsen       26          0         312         0             0
  Sächsische Schweiz-Osterzgebirge      105          2           0         0             0
                     Vogtlandkreis       62          0           0         0             0
                           Zwickau      244          0         581        10             3
            Altmarkkreis Salzwedel       10          0         103         0             0
                 Anhalt-Bitterfeld       27          0         190         0             0
                             Börde       46          2           0         0             0
                   Burgenlandkreis       27          3         159         0             0
                     Dessau-Roßlau       20          0           0         0             0
                     Halle (Saale)       96          0           0         0             1
                              Harz       38          0         196         0             0
                   Jerichower Land       16          0          94         0             0
                         Magdeburg       65          0           0         0             0
                  Mansfeld-Südharz       16          0         147         0             0
                        Saalekreis       45          0         190         0             0
                     Salzlandkreis       37         17         114         0             0
                           Stendal       24          0         255         0             1
                        Wittenberg       60          0          54         6             0
                  Altenburger Land       17          5           0         1             0
                         Eichsfeld       39          1           0         1             0
                          Eisenach        3          1           4         1             0
                            Erfurt       62          8         542         3             0
                              Gera        8          1           0         0             0
                             Gotha       17          0           0         0             0
                             Greiz       89          8           0         8             2
                    Hildburghausen        6          0           0         0             0
                         Ilm-Kreis       30          3         463         0             1
                              Jena       99          5           0         7             1
                   Kyffhäuserkreis       17          6           0         3             0
                        Nordhausen        9          1           0         0             0
              Saale-Holzland-Kreis       20          7         325         2             0
                  Saale-Orla-Kreis       10          3           0         0             0
               Saalfeld-Rudolstadt       25          3           0         1             0
            Schmalkalden-Meiningen       21          4           0         0             0
                          Sömmerda       14          2           6         2             0
                         Sonneberg       13          1           0         0             0
                              Suhl        5          0           0         1             0
             Unstrut-Hainich-Kreis       10          1         382         2             0
                     Wartburgkreis       17          4         135         1             0
                            Weimar       21          5           0         0             0
                     Weimarer Land       15          3           0         3             1
